winner_name,loser_name,winner_tot_minutes,loser_tot_minutes,tourney_id,surface,abs_minute_diff,winner_adv,adv_category
Julia Goerges,Belinda Bencic,488,434,2018-0300,Hard,54,0,50-99
Su Wei Hsieh,Amanda Anisimova,435,345,2018-0405,Hard,90,0,50-99
Anastasia Pavlyuchenkova,Dominika Cibulkova,470,609,2018-0406,Clay,139,1,100-149
Camila Giorgi,Ekaterina Alexandrova,441,405,2018-0528,Hard,36,0,0-49
Aryna Sabalenka,Carla Suarez Navarro,478,262,2018-0602,Hard,216,0,150+
Pauline Parmentier,Jessica Pegula,546,463,2018-0656,Hard,83,0,50-99
Mihaela Buzarnescu,Maria Sakkari,521,443,2018-0703,Hard,78,0,50-99
Elina Svitolina,Daria Kasatkina,367,615,2018-0718,Hard,248,1,150+
Kiki Bertens,Julia Goerges,559,1866,2018-0804,Clay,1307,1,150+
Simona Halep,Sloane Stephens,577,498,2018-0806,Hard,79,0,50-99
Elina Svitolina,Sloane Stephens,658,642,2018-0808,Hard,16,0,0-49
Margarita Gasparyan,Anastasia Potapova,501,420,2018-0825,Hard,81,0,50-99
Anna Karolina Schmiedlova,Lara Arruabarrena,426,330,2018-0894,Clay,96,0,50-99
Petra Kvitova,Garbine Muguruza,638,401,2018-1003,Hard,237,0,150+
Elise Mertens,Ajla Tomljanovic,437,515,2018-1005,Clay,78,1,50-99
Qiang Wang,Yulia Putintseva,355,412,2018-1023,Hard,57,1,50-99
Kiki Bertens,Ajla Tomljanovic,553,657,2018-1024,Hard,104,1,100-149
Pauline Parmentier,Polona Hercog,540,503,2018-1027,Clay,37,0,0-49
Garbine Muguruza,Timea Babos,408,529,2018-1039,Hard,121,1,100-149
Julia Goerges,Caroline Wozniacki,454,431,2018-1049,Hard,23,0,0-49
Elise Mertens,Mihaela Buzarnescu,411,513,2018-1050,Hard,102,1,100-149
Karolina Pliskova,Coco Vandeweghe,475,467,2018-1051,Clay,8,0,0-49
Petra Kvitova,Magdalena Rybarikova,439,480,2018-1052,Grass,41,1,0-49
Karolina Pliskova,Naomi Osaka,482,284,2018-1056,Hard,198,0,150+
Simona Halep,Katerina Siniakova,382,398,2018-1063,Hard,16,1,0-49
Johanna Larsson,Alison Riske,512,533,2018-1068,Clay,21,1,0-49
Dayana Yastremska,Qiang Wang,422,436,2018-1074,Hard,14,1,0-49
Aryna Sabalenka,Anett Kontaveit,538,555,2018-1075,Hard,17,1,0-49
Caroline Garcia,Karolina Pliskova,394,440,2018-1076,Hard,46,1,0-49
Qiang Wang,Saisai Zheng,432,465,2018-1077,Hard,33,1,0-49
Anastasija Sevastova,Petra Martic,438,599,2018-1079,Clay,161,1,150+
Ashleigh Barty,Johanna Konta,378,437,2018-1080,Grass,59,1,50-99
Ashleigh Barty,Qiang Wang,347,360,2018-1081,Hard,13,1,0-49
Petra Kvitova,Mihaela Buzarnescu,409,533,2018-1082,Clay,124,1,100-149
Petra Kvitova,Kristina Mladenovic,409,373,2018-1086,Hard,36,0,0-49
Tatjana Maria,Anastasija Sevastova,565,455,2018-1091,Grass,110,0,100-149
Alize Cornet,Mandy Minella,431,463,2018-1094,Clay,32,1,0-49
Timea Babos,Kateryna Kozlova,434,465,2018-1096,Hard,31,1,0-49
Alison Van Uytvanck,Dominika Cibulkova,413,441,2018-1097,Hard,28,1,0-49
Elise Mertens,Aryna Sabalenka,598,419,2018-1101,Clay,179,0,150+
Olga Danilovic,Anastasia Potapova,545,494,2018-1105,Clay,51,0,50-99
Simona Halep,Sloane Stephens,658,579,2018-520,Clay,79,0,50-99
Angelique Kerber,Serena Williams,590,563,2018-540,Grass,27,0,0-49
Naomi Osaka,Serena Williams,521,537,2018-560,Hard,16,1,0-49
Caroline Wozniacki,Simona Halep,768,859,2018-580,Hard,91,1,50-99
Angelique Kerber,Ashleigh Barty,487,420,2018-M001,Hard,67,0,50-99
Lesia Tsurenko,Stefanie Voegele,493,550,2018-M004,Hard,57,1,50-99
Naomi Osaka,Daria Kasatkina,588,555,2018-M006,Hard,33,0,0-49
Sloane Stephens,Jelena Ostapenko,594,586,2018-M007,Hard,8,0,0-49
Elina Svitolina,Simona Halep,384,343,2018-M009,Clay,41,0,0-49
Aleksandra Krunic,Kirsten Flipkens,514,531,2018-M010,Grass,17,1,0-49
Daria Kasatkina,Ons Jabeur,482,409,2018-M014,Hard,73,0,50-99
Caroline Wozniacki,Anastasija Sevastova,535,456,2018-M015,Hard,79,0,50-99
Caroline Wozniacki,Aryna Sabalenka,538,719,2018-M016,Grass,181,1,150+
Elina Svitolina,Aliaksandra Sasnovich,448,528,2018-M020,Hard,80,1,50-99
Petra Kvitova,Kiki Bertens,648,583,2018-M021,Clay,65,0,50-99
Kiki Bertens,Simona Halep,531,495,2018-M024,Hard,36,0,0-49
Svetlana Kuznetsova,Donna Vekic,464,555,2018-M035,Hard,91,1,50-99
Jelena Ostapenko,Julia Goerges,463,520,2019-0300,Hard,57,1,50-99
Nao Hibino,Misaki Doi,501,464,2019-0405,Hard,37,0,0-49
Dayana Yastremska,Caroline Garcia,470,587,2019-0406,Clay,117,1,100-149
Jil Teichmann,Kiki Bertens,451,467,2019-0466,Clay,16,1,0-49
Cori Gauff,Jelena Ostapenko,501,453,2019-0528,Hard,48,0,0-49
Saisai Zheng,Aryna Sabalenka,532,370,2019-0703,Hard,162,0,150+
Belinda Bencic,Petra Kvitova,656,580,2019-0718,Hard,76,0,50-99
Madison Keys,Caroline Wozniacki,529,528,2019-0804,Clay,1,0,0-49
Bianca Andreescu,Serena Williams,755,368,2019-0806,Hard,387,0,150+
Ashleigh Barty,Elina Svitolina,532,544,2019-0808,Hard,12,1,0-49
Alison Van Uytvanck,Sorana Cirstea,428,562,2019-0825,Hard,134,1,100-149
Amanda Anisimova,Astra Sharma,540,457,2019-0894,Clay,83,0,50-99
