player_name,win,sets,ace,df,svpt,first_in,first_won,second_in,second_won,matches_played,win_pct,first_won_pct,second_in_won_pct,second_won_pct,aces_set,df_set,aces_match,df_match
Abigail Tere Apisah,3,15,7,28,434,254,152,152,78,6,0.5,0.5984251968503937,0.5131578947368421,0.43333333333333335,0.4666666666666667,1.8666666666666667,1.1666666666666667,4.666666666666667
Adrienn Nagy,1,3,4,4,105,63,35,38,23,1,1,0.5555555555555556,0.6052631578947368,0.5476190476190477,1.3333333333333333,1.3333333333333333,4,4
Agnieszka Radwanska,15,65,47,49,2008,1257,762,702,336,29,0.5172413793103449,0.6062052505966588,0.47863247863247865,0.4474034620505992,0.7230769230769231,0.7538461538461538,1.6206896551724137,1.6896551724137931
Aisha Al Suleimani,0,2,0,6,30,13,5,11,3,1,0,0.38461538461538464,0.2727272727272727,0.17647058823529413,0,3,0,6
Ajla Tomljanovic,89,432,543,763,12794,7578,4887,4453,2268,184,0.483695652173913,0.6448931116389549,0.5093195598472939,0.4348159509202454,1.2569444444444444,1.7662037037037037,2.9510869565217392,4.146739130434782
Akgul Amanmuradova,0,12,12,19,422,286,163,117,53,5,0,0.5699300699300699,0.452991452991453,0.3897058823529412,1,1.5833333333333333,2.4,3.8
Aldila Sutjiadi,9,42,29,44,1099,669,381,386,213,19,0.47368421052631576,0.5695067264573991,0.5518134715025906,0.49534883720930234,0.6904761904761905,1.0476190476190477,1.5263157894736843,2.3157894736842106
Aleksandra Krunic,41,204,140,181,5928,3687,2217,2060,1082,89,0.4606741573033708,0.6013018714401953,0.525242718446602,0.4828201695671575,0.6862745098039216,0.8872549019607843,1.5730337078651686,2.033707865168539
Alexa Glatch,0,2,1,2,41,20,11,19,5,1,0,0.55,0.2631578947368421,0.23809523809523808,0.5,1,1,2
Alexa Guarachi,2,9,6,19,282,158,109,105,55,4,0.5,0.689873417721519,0.5238095238095238,0.4435483870967742,0.6666666666666666,2.111111111111111,1.5,4.75
Alexandra Cadantu,0,7,3,17,225,167,86,41,26,3,0,0.5149700598802395,0.6341463414634146,0.4482758620689655,0.42857142857142855,2.4285714285714284,1,5.666666666666667
Alexandra Dulgheru,3,26,4,24,788,582,312,182,99,10,0.3,0.5360824742268041,0.5439560439560439,0.48058252427184467,0.15384615384615385,0.9230769230769231,0.4,2.4
Alexandra Eala,1,6,3,21,143,79,40,43,20,3,0.3333333333333333,0.5063291139240507,0.46511627906976744,0.3125,0.5,3.5,1,7
Aliaksandra Sasnovich,93,428,420,704,12429,7976,4955,3749,2008,178,0.5224719101123596,0.6212387161484454,0.5356094958655642,0.4509319559847294,0.9813084112149533,1.644859813084112,2.359550561797753,3.955056179775281
Aliona Bolsova,11,71,65,86,2184,1390,836,708,355,30,0.36666666666666664,0.6014388489208633,0.501412429378531,0.44710327455919396,0.9154929577464789,1.2112676056338028,2.1666666666666665,2.8666666666666667
Alison Bai,0,2,0,2,57,27,18,28,11,1,0,0.6666666666666666,0.39285714285714285,0.36666666666666664,0,1,0,2
Alison Riske,78,356,336,601,11184,7395,4658,3188,1775,151,0.5165562913907285,0.6298850574712643,0.5567754077791719,0.46846133544470836,0.9438202247191011,1.6882022471910112,2.225165562913907,3.980132450331126
Alison Van Uytvanck,73,349,487,322,10339,6426,4149,3591,1838,150,0.4866666666666667,0.6456582633053222,0.5118351434140908,0.4697163301814465,1.3954154727793697,0.9226361031518625,3.2466666666666666,2.1466666666666665
Alize Cornet,95,433,292,725,12998,8203,5161,4070,2086,187,0.5080213903743316,0.6291600633914421,0.5125307125307126,0.43503649635036495,0.674364896073903,1.674364896073903,1.5614973262032086,3.877005347593583
Allie Kiick,4,25,10,39,704,472,282,193,104,11,0.36363636363636365,0.597457627118644,0.538860103626943,0.4482758620689655,0.4,1.56,0.9090909090909091,3.5454545454545454
Alycia Parks,2,16,48,53,428,216,141,159,85,7,0.2857142857142857,0.6527777777777778,0.5345911949685535,0.4009433962264151,3,3.3125,6.857142857142857,7.571428571428571
Amanda Anisimova,82,309,246,437,8793,5793,3679,2563,1422,134,0.6119402985074627,0.63507681684792,0.554818571985954,0.474,0.7961165048543689,1.4142394822006472,1.835820895522388,3.2611940298507465
Amandine Hesse,1,18,31,29,504,286,168,189,99,8,0.125,0.5874125874125874,0.5238095238095238,0.4541284403669725,1.7222222222222223,1.6111111111111112,3.875,3.625
Amina Anshba,1,4,1,3,124,81,40,40,22,2,0.5,0.49382716049382713,0.55,0.5116279069767442,0.25,0.75,0.5,1.5
Ana Biskic,0,3,0,2,83,42,22,39,16,1,0,0.5238095238095238,0.41025641025641024,0.3902439024390244,0,0.6666666666666666,0,2
Ana Bogdan,37,205,200,206,5898,3643,2229,2049,1095,90,0.4111111111111111,0.6118583584957452,0.5344070278184481,0.48558758314855877,0.975609756097561,1.0048780487804878,2.2222222222222223,2.2888888888888888
Ana Carmen Zamburek,1,5,0,0,0,0,0,0,0,2,0.5,NA,NA,NA,0,0,0,0
Ana Filipa Santos,1,6,6,10,152,78,50,64,25,3,0.3333333333333333,0.6410256410256411,0.390625,0.33783783783783783,1,1.6666666666666667,2,3.3333333333333335
Ana Julissa De Mata,0,3,0,0,0,0,0,0,0,1,0,NA,NA,NA,0,0,0,0
Ana Konjuh,26,134,228,369,4083,2367,1523,1347,725,57,0.45614035087719296,0.6434305027460921,0.5382331106161841,0.4224941724941725,1.7014925373134329,2.753731343283582,4,6.473684210526316
Ana Sofia Sanchez,1,5,2,4,173,123,60,46,26,2,0.5,0.4878048780487805,0.5652173913043478,0.52,0.4,0.8,1,2
Anastasia Gasanova,9,48,25,131,1523,1055,621,337,188,19,0.47368421052631576,0.5886255924170616,0.5578635014836796,0.4017094017094017,0.5208333333333334,2.7291666666666665,1.3157894736842106,6.894736842105263
Anastasia Iamachkine,5,13,7,44,170,79,53,47,32,6,0.8333333333333334,0.6708860759493671,0.6808510638297872,0.3516483516483517,0.5384615384615384,3.3846153846153846,1.1666666666666667,7.333333333333333
